"No.","Time","Source","Destination","Protocol","Length","Info"
"18834","35.874391","2405:200:1633:2934::13","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","573","Protected Payload (KP0)"
"18835","35.875722","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2405:200:1633:2934::13","QUIC","98","Protected Payload (KP0), DCID=e62f9edc1a21e88f"
"18836","35.875859","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2405:200:1633:2934::13","QUIC","94","Protected Payload (KP0), DCID=e62f9edc1a21e88f"
"18837","35.875973","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2405:200:1633:2934::13","QUIC","94","Protected Payload (KP0), DCID=e62f9edc1a21e88f"
"18838","35.876278","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2405:200:1633:2934::13","QUIC","94","Protected Payload (KP0), DCID=e62f9edc1a21e88f"
"18839","35.876382","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2405:200:1633:2934::13","QUIC","94","Protected Payload (KP0), DCID=e62f9edc1a21e88f"
"18840","35.887496","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2405:200:1633:2934::13","QUIC","96","Protected Payload (KP0), DCID=e62f9edc1a21e88f"
"18841","35.895964","2405:200:1633:2934::13","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","88","Protected Payload (KP0)"
"18842","35.944845","2405:200:1633:2934::13","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","574","Protected Payload (KP0)"
"18843","35.944845","2405:200:1633:2934::13","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","574","Protected Payload (KP0)"
"18844","35.950946","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2405:200:1633:2934::13","QUIC","95","Protected Payload (KP0), DCID=e62f9edc1a21e88f"
"18845","35.982713","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2404:6800:4002:821::200e","QUIC","91","Protected Payload (KP0), DCID=e8f8c52615496b80"
"18846","35.984155","2404:6800:4002:821::200e","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","261","Protected Payload (KP0)"
"18847","35.984155","2404:6800:4002:821::200e","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","83","Protected Payload (KP0)"
"18848","35.984739","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2404:6800:4002:821::200e","QUIC","99","Protected Payload (KP0), DCID=e8f8c52615496b80"
"18849","35.985202","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2404:6800:4002:821::200e","QUIC","95","Protected Payload (KP0), DCID=e8f8c52615496b80"
"18850","35.989170","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2404:6800:4002:821::200e","UDP","712","52530  >  443 Len=650"
"18851","35.992170","2404:6800:4002:821::200e","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","89","Protected Payload (KP0)"
"18852","35.992749","2405:200:1633:2934::13","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","575","Protected Payload (KP0)"
"18853","35.993314","2405:200:1633:2934::13","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","577","Protected Payload (KP0)"
"18854","35.995598","2404:6800:4002:821::200e","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","89","Protected Payload (KP0)"
